ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
Erm(38)	3000601	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	3.00	0.00	3.00	1.46	17.00	23.00	0	0	0	0	N/A	N/A		1161	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	2.00	0.00	2.00	1.98	17.00	23.00	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
ESP-1	3003717	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	3.00	0.00	3.00	3.78	33.00	38.33	0	0	0	0	N/A	N/A		873	ESP beta-lactamase	carbapenem	antibiotic inactivation
FPH-1	3004795	protein homolog model	CARD	1	100.0	no data	no data	Francisella philomiragia	1.00	0.00	1.00	1.96	17.00	23.00	0	0	0	0	N/A	N/A		867	FPH beta-lactamase	penam	antibiotic inactivation
CIA-1	3004768	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	1.00	0.00	1.00	1.93	17.00	23.00	0	0	0	0	N/A	N/A		879	CIA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
BcI	3002877	protein homolog model	Resistomes & Variants	1	92.48	NO	NO	Bacillus cereus	1.00	0.00	1.00	1.62	17.00	23.00	0	0	0	0	N/A	N/A		1047	class A Bacillus cereus Bc beta-lactamase	cephalosporin; penem	antibiotic inactivation
OXA-608	3005829	protein homolog model	Resistomes & Variants	1	99.55	NO	NO	Campylobacter jejuni	3.00	0.00	3.00	2.65	19.00	34.00	0	0	0	0	N/A	N/A		717	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
kdpE	3003841	protein homolog model	Resistomes & Variants	4	91.74 - 99.54	YES	NO	Escherichia coli; Salmonella enterica	7894.00	0.00	7894.00	14.84	122.50	37.32	0	0	0	0	N/A	N/A		702; 735; 729; 888	kdpDE	aminoglycoside antibiotic	antibiotic efflux
acrB	3000216	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	63.00	0.00	63.00	83.85	322.00	142.48	0	0	0	0	N/A	N/A		384	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
mphA	3000316	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Escherichia coli	7.00	0.00	7.00	20.63	39.00	47.14	0	0	0	0	N/A	N/A		189	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
emrA	3000027	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Escherichia coli	8.00	0.00	8.00	7.75	43.00	39.50	0	0	0	0	N/A	N/A		555	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
APH(4)-Ia	3002655	protein homolog model	Resistomes & Variants	2	99.71	NO	NO	Escherichia coli; Salmonella enterica	4.00	0.00	4.00	21.88	224.50	198.50	0	0	0	0	N/A	N/A		1026; 1026	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
emrK	3000206	protein homolog model	Resistomes & Variants	1	94.28	NO	NO	Escherichia coli	7.00	0.00	7.00	6.97	78.00	59.57	0	0	0	0	N/A	N/A		1119	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
Escherichia coli mdfA	3001328	protein homolog model	Resistomes & Variants	2	95.98 - 97.58	NO	NO	Escherichia coli	40.00	0.00	40.00	21.93	110.00	73.27	0	0	0	0	N/A	N/A		387; 687	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
TEM-1	3000873	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	6.00	0.00	6.00	17.14	18.00	34.00	0	0	0	0	N/A	N/A		105	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
